newspaper,year,month,day,page,article,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__abomentions,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__nonabospeeches,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__misc,bigram_exact.jsonTrueFalseFalseTruearticleswordlist_with_errors.json['0']__control,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__abomentions,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__nonabospeeches,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__misc,TrueTrueFalseTruearticleswordlist_with_errors.json['1']__control,"bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__abomentions","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__nonabospeeches","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__misc","bigram_1distant.jsonFalseTrueFalseTruearticleswordlist_with_errors.json['0', '1', '2']__control","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__abomentions","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__nonabospeeches","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__misc","bigram.jsonFalseTrueFalseTruearticleswordlist_with_errors_w_bigram.json['0', '1', 'contextual']__control"
ANJO,1848,11,15,0002,003,13.451302,83.095444,0.029516,3.423738,83.781935,16.196380,0.000005,0.021680,1.968666,97.809141,0.000000,0.222192,47.215235,2.640466,0.018171,50.126128
ANJO,1848,11,15,0005,016,86.140394,12.433128,1.390597,0.035881,0.001863,52.694780,0.000000,47.303357,0.032858,99.966143,0.000000,0.000998,0.352748,2.263532,0.006909,97.376811
ANJO,1848,12,06,0008,036,0.009767,41.695157,0.000219,58.294857,74.020806,1.508311,0.000000,24.470883,0.008525,99.909311,0.000000,0.082164,0.000055,0.000945,0.000000,99.999000
ANJO,1849,01,03,0005,021,0.095292,19.386234,0.000315,80.518159,0.017758,2.933051,0.016909,97.032282,0.000000,0.000000,100.000000,0.000000,0.000035,0.000118,0.000036,99.999811
ANJO,1849,01,17,0008,043,91.327733,8.473581,0.184705,0.013981,0.584083,99.357822,0.000000,0.058095,34.734750,65.265158,0.000000,0.000092,26.142281,17.876238,0.000476,55.981005
ANJO,1849,03,21,0006,018,0.869465,98.923352,0.014760,0.192422,9.260420,89.968517,0.000000,0.771063,0.836688,99.162710,0.000000,0.000603,51.401153,2.666617,0.036163,45.896067
ANJO,1849,04,11,0003,004,95.628622,3.235518,1.135846,0.000015,97.763140,2.215169,0.000000,0.021691,97.680499,2.319500,0.000000,0.000000,98.729916,1.185884,0.047420,0.036780
ANJO,1849,05,30,0006,016,5.343455,93.566261,0.015419,1.074865,0.025795,97.260592,0.000000,2.713613,98.983596,1.016050,0.000000,0.000354,0.029237,0.104706,0.000008,99.866050
ANJO,1849,07,11,0004,014,55.916580,23.229365,2.578279,18.275777,0.023571,78.505455,0.000000,21.470974,0.000705,0.037663,0.000000,99.961633,0.001337,0.001940,0.000000,99.996723
ANJO,1849,07,25,0007,028,53.352997,44.752312,0.253611,1.641081,0.001106,19.319603,0.000000,80.679292,0.020405,3.287336,0.000000,96.692258,0.000053,0.153641,0.000001,99.846306
ANJO,1849,08,15,0007,040,65.890793,31.232693,2.185675,0.690839,0.023571,78.505455,0.000000,21.470974,0.095599,58.762669,0.000000,41.141731,0.000924,0.116494,0.000000,99.882582
ANJO,1849,12,05,0008,028,80.534793,19.409788,0.052460,0.002960,3.257683,95.320803,0.000000,1.421514,0.118700,99.881205,0.000000,0.000095,1.029360,98.469552,0.000162,0.500926
ANJO,1850,01,02,0008,047,52.773029,42.969575,0.297255,3.960141,0.173854,99.535580,0.000000,0.290566,32.309661,67.690060,0.000000,0.000279,1.331005,8.159767,0.002826,90.506402
ANJO,1850,01,09,0007,035,76.523388,21.168048,0.391249,1.917315,0.023571,78.505455,0.000000,21.470974,0.034748,18.313332,0.000000,81.651921,0.000514,0.038862,0.000000,99.960625
